SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
08103;775;797;202;158;891;321;1187;29;356;10/01/11
08104;578;718;163;103;692;338;1077;9;210;10/01/11
08105;754;783;223;142;843;329;1258;26;253;10/01/11
08106;740;807;235;172;823;317;1170;11;366;10/01/11
08107;862;931;265;165;1021;342;1559;14;220;10/01/11
08108;561;561;186;130;627;179;1017;13;92;10/01/11
08109;553;516;183;139;585;162;952;14;103;10/01/11
08110;1050;987;367;240;1157;273;1212;42;783;10/01/11
08111;857;823;259;207;915;299;1091;31;558;10/01/11
08112;900;860;286;192;993;289;1086;60;614;10/01/11
08113;915;872;271;203;1030;283;1205;31;551;10/01/11
08114;1003;930;276;214;1159;284;1364;55;514;10/01/11
08115;884;878;252;204;996;310;1070;51;641;10/01/11
08116;662;689;232;128;741;250;1194;37;120;10/01/11
09001;1571;1240;462;380;1646;323;1532;77;1202;10/01/11
09002;1283;1061;347;298;1378;321;1358;71;915;10/01/11
09003;1029;1029;303;218;1241;296;1469;44;545;10/01/11
09004;912;872;277;198;1039;270;1266;21;497;10/01/11
09005;739;729;239;151;891;187;1212;21;235;10/01/11
09006;560;619;171;135;634;239;1100;10;69;10/01/11
09007;615;635;249;114;705;182;1160;8;82;10/01/11
09008;897;869;509;67;1121;69;1629;33;104;10/01/11
09009;663;691;237;86;804;227;1275;14;65;10/01/11
09010;768;817;218;169;844;354;1497;21;67;10/01/11
09011;549;580;168;132;576;253;1002;22;105;10/01/11
09012;559;572;156;108;617;250;1011;5;115;10/01/11
09013;979;990;315;195;1067;392;1485;35;449;10/01/11
09014;1909;1075;305;349;2010;320;1346;157;1481;10/01/11
09015;913;890;277;131;1078;317;1437;22;344;10/01/11
09016;696;734;178;153;893;206;1346;3;81;10/01/11
09017;705;774;250;131;844;254;1346;21;112;10/01/11
09018;722;759;199;113;852;317;1415;7;59;10/01/11
09019;1130;1165;301;270;1516;208;2171;31;93;10/01/11
09020;539;622;119;88;617;337;1112;25;24;10/01/11
09021;680;725;175;141;808;281;1283;22;100;10/01/11
09022;588;637;132;115;718;260;1146;18;61;10/01/11
09023;563;624;168;124;697;198;1116;11;60;10/01/11
09024;559;620;137;87;626;329;1087;17;75;10/01/11
09025;544;621;134;83;712;236;1054;24;87;10/01/11
09026;730;801;169;162;941;259;1398;24;109;10/01/11
09027;650;707;148;160;866;183;1281;13;63;10/01/11
09028;767;803;389;78;975;128;1541;12;17;10/01/11
09029;606;619;138;101;779;207;1125;17;83;10/01/11
09030;672;795;257;80;859;271;1395;16;56;10/01/11
09031;536;596;241;62;664;165;1117;6;9;10/01/11
09032;682;790;233;116;881;242;1277;22;173;10/01/11
09033;1474;1574;348;274;1988;438;2699;79;270;10/01/11
09034;690;722;147;86;885;294;1296;12;104;10/01/11
09035;751;813;159;143;951;311;1397;21;146;10/01/11
09036;702;801;177;146;895;285;1397;10;96;10/01/11
09037;632;782;156;124;809;325;1301;20;93;10/01/11
09038;715;834;216;145;905;283;1444;19;86;10/01/11
09039;762;821;189;141;986;267;1423;33;127;10/01/11
09040;666;830;207;110;810;369;1361;26;109;10/01/11
09041;652;784;189;106;830;311;1300;30;106;10/01/11
09042;593;661;109;91;774;280;1135;37;82;10/01/11
09043;656;705;174;83;798;306;1238;19;104;10/01/11
09044;706;800;176;136;898;296;1378;35;93;10/01/11
09045;676;726;176;107;809;310;1280;11;111;10/01/11
09046;625;716;141;123;812;265;1222;26;93;10/01/11
09047;711;793;193;120;884;307;1372;29;103;10/01/11
09048;623;717;164;115;755;306;1217;26;97;10/01/11
09049;626;728;146;148;789;271;1152;15;187;10/01/11
09050;732;863;197;145;889;364;1466;20;109;10/01/11
09051;580;655;139;121;707;268;1099;28;108;10/01/11
09052;547;641;129;110;707;242;1081;23;84;10/01/11
09053;640;766;128;104;832;342;1309;18;79;10/01/11
09054;512;619;111;100;581;339;1028;12;91;10/01/11
09055;1411;1646;240;295;2089;433;2520;56;481;10/01/11
