SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
02046;815;1044;191;141;1005;522;1584;49;226;10/01/11
02047;867;999;207;157;1052;450;1553;103;210;10/01/11
02048;566;687;139;94;783;237;952;74;227;10/01/11
02049;984;1228;170;199;1335;508;1664;145;403;10/01/11
02050;741;903;158;154;1003;329;1349;72;223;10/01/11
02051;945;1108;171;170;1277;435;1570;147;336;10/01/11
02052;835;995;215;121;1114;380;1505;111;214;10/01/11
02053;839;992;195;144;1101;391;1432;141;258;10/01/11
02054;886;1072;228;159;1153;418;1574;135;249;10/01/11
02055;876;1024;225;150;1128;397;1566;105;229;10/01/11
02056;645;820;175;109;810;371;1226;122;117;10/01/11
02057;542;679;152;83;685;301;1058;60;103;10/01/11
02058;632;757;171;111;725;382;1212;69;108;10/01/11
02059;748;861;147;143;951;368;1354;115;140;10/01/11
02060;758;893;167;141;941;402;1405;90;156;10/01/11
02061;641;746;161;111;870;245;1066;123;198;10/01/11
02062;732;872;200;126;966;312;1320;154;130;10/01/11
02063;436;688;115;86;520;403;1010;55;59;10/01/11
02064;652;759;190;129;781;311;1178;103;130;10/01/11
02065;863;980;222;147;1117;357;1511;163;169;10/01/11
02066;899;1008;204;183;1105;415;1628;89;190;10/01/11
02067;749;914;187;126;1056;294;1315;136;212;10/01/11
02068;797;924;186;159;1058;318;1401;141;179;10/01/11
02069;627;699;160;93;776;297;1132;76;118;10/01/11
02070;613;786;163;112;813;311;1116;109;174;10/01/11
02071;805;877;228;169;1007;278;1420;149;113;10/01/11
02072;578;651;175;97;709;248;1051;92;86;10/01/11
02073;777;859;232;118;965;321;1327;147;162;10/01/11
02074;547;616;149;94;669;251;888;128;147;10/01/11
02075;537;645;159;105;675;243;934;111;137;10/01/11
02076;761;864;239;114;968;304;1342;143;140;10/01/11
02077;697;747;164;122;828;330;1121;128;195;10/01/11
02078;604;818;170;107;793;352;1142;135;145;10/01/11
02079;557;647;110;105;658;331;994;103;107;10/01/11
02080;637;788;151;117;774;383;1221;97;107;10/01/11
02081;901;1186;206;173;1174;534;1738;159;190;10/01/11
02082;391;543;102;74;516;242;776;83;75;10/01/11
02083;687;893;185;115;891;389;1320;140;120;10/01/11
02084;916;1117;235;148;1194;456;1667;159;207;10/01/11
02085;648;784;165;115;856;296;1134;128;170;10/01/11
02086;610;775;206;114;778;287;1173;98;114;10/01/11
02087;649;792;170;119;853;299;1199;80;162;10/01/11
02088;797;934;210;136;992;393;1418;134;179;10/01/11
02089;874;987;194;153;1146;368;1455;188;218;10/01/11
02090;783;922;185;124;1021;375;1308;119;278;10/01/11
02091;892;929;211;148;1147;315;1382;187;252;10/01/11
02092;893;933;174;128;1178;346;1375;165;286;10/01/11
02093;765;825;167;133;919;371;1286;114;190;10/01/11
02094;719;809;132;138;940;318;1235;110;183;10/01/11
02095;738;824;134;143;959;326;1211;128;223;10/01/11
02096;641;767;117;112;846;333;1106;73;229;10/01/11
02097;501;582;104;93;671;215;878;73;132;10/01/11
02098;683;865;135;139;935;339;1186;132;230;10/01/11
02099;639;788;148;114;807;358;1229;71;127;10/01/11
02100;654;767;125;135;882;279;1195;64;162;10/01/11
02101;953;1210;210;191;1240;522;1743;117;303;10/01/11
02102;582;758;155;120;722;343;1193;50;97;10/01/11
02103;793;976;172;166;1057;374;1363;108;298;10/01/11
02104;500;622;116;92;660;254;959;46;117;10/01/11
02105;949;1182;212;170;1252;497;1644;151;336;10/01/11
02106;641;749;171;99;788;332;1152;84;154;10/01/11
02107;715;889;212;120;843;429;1448;69;87;10/01/11
02108;676;857;181;108;824;420;1371;55;107;10/01/11
02109;864;1049;223;158;981;551;1694;80;139;10/01/11
02110;862;1005;214;156;1082;415;1491;121;255;10/01/11
02111;812;997;181;158;1048;422;1518;95;196;10/01/11
02112;609;712;144;102;722;353;1200;46;75;10/01/11
02113;825;941;178;138;1004;446;1583;50;133;10/01/11
02114;722;925;176;138;852;481;1435;56;156;10/01/11
02115;626;770;169;86;785;356;1122;74;200;10/01/11
02116;457;566;128;92;590;213;944;16;63;10/01/11
02117;567;621;117;104;702;265;1016;38;134;10/01/11
02118;666;861;189;172;874;292;1302;71;154;10/01/11
02119;594;700;139;118;762;275;1194;33;67;10/01/11
02120;569;654;114;114;722;273;1073;48;102;10/01/11
02121;609;671;160;96;726;298;1130;69;81;10/01/11
02122;492;599;121;114;647;209;961;44;86;10/01/11
02123;529;572;103;59;696;243;917;58;126;10/01/11
02124;512;631;114;117;640;272;1039;30;74;10/01/11
02125;777;921;186;172;941;399;1501;51;146;10/01/11
02126;725;833;172;146;944;296;1352;61;145;10/01/11
02127;546;613;138;81;705;235;941;56;162;10/01/11
02128;610;716;136;112;776;302;1037;61;228;10/01/11
02129;699;850;152;148;904;345;1320;57;172;10/01/11
02130;542;550;88;142;638;224;1005;30;57;10/01/11
02131;569;654;103;107;771;242;970;81;172;10/01/11
02132;575;624;106;120;751;222;980;59;160;10/01/11
02133;440;483;71;60;478;314;835;24;64;10/01/11
02134;681;831;132;158;888;334;1279;65;168;10/01/11
02135;959;1151;228;180;1289;413;1711;93;306;10/01/11
02136;453;491;80;90;596;178;801;34;109;10/01/11
02137;672;801;161;121;875;316;1159;117;197;10/01/11
02138;862;995;206;141;1047;463;1610;91;156;10/01/11
02139;823;939;202;146;1085;329;1333;119;310;10/01/11
02140;874;1072;182;191;1102;471;1607;86;253;10/01/11
02141;573;702;140;116;761;258;1017;54;204;10/01/11
02142;924;1066;226;150;1187;427;1517;153;320;10/01/11
02143;596;663;127;94;774;264;1059;64;136;10/01/11
02144;668;847;160;132;907;316;1225;119;171;10/01/11
02145;592;629;134;125;722;240;1004;73;144;10/01/11
02146;537;690;110;107;699;311;979;60;188;10/01/11
02147;1016;1199;243;210;1316;446;1726;116;373;10/01/11
02148;754;847;152;156;1000;293;1321;93;187;10/01/11
02149;817;950;203;175;1041;348;1460;114;193;10/01/11
02150;676;802;140;139;859;340;1161;104;213;10/01/11
02151;685;787;162;123;900;287;1151;111;210;10/01/11
02152;559;701;123;103;697;337;1121;57;82;10/01/11
02153;585;707;107;109;680;396;1120;49;123;10/01/11
02154;477;540;81;100;609;227;789;61;167;10/01/11
02155;861;1043;223;129;1058;494;1564;114;226;10/01/11
02156;591;709;121;111;713;355;1138;45;117;10/01/11
02157;556;645;126;87;651;337;960;58;183;10/01/11
02158;808;911;152;143;974;450;1434;70;215;10/01/11
02159;838;989;187;142;1092;406;1512;89;226;10/01/11
02160;908;1058;197;148;1153;468;1682;99;185;10/01/11
02161;510;610;121;74;675;250;931;74;115;10/01/11
02162;630;727;136;96;776;349;1096;70;191;10/01/11
02163;813;936;149;143;1042;415;1465;104;180;10/01/11
02164;629;758;132;125;810;320;1103;143;141;10/01/11
02165;779;842;143;121;949;408;1262;113;246;10/01/11
02166;967;1159;213;172;1303;438;1650;149;327;10/01/11
02167;986;1104;227;161;1180;522;1754;104;232;10/01/11
02168;1013;1151;225;168;1322;449;1730;130;304;10/01/11
02169;790;857;180;134;979;354;1298;98;251;10/01/11
02170;780;864;176;119;994;355;1342;83;219;10/01/11
02171;778;891;172;139;950;408;1315;76;278;10/01/11
02172;778;852;153;135;990;352;1247;116;267;10/01/11
02173;756;851;170;136;953;348;1350;69;188;10/01/11
03001;854;907;181;150;1040;390;1368;58;335;10/01/11
03002;1055;1098;254;170;1349;380;1458;132;563;10/01/11
03003;842;862;202;142;1055;305;1120;107;477;10/01/11
03004;746;862;172;118;1019;299;1230;92;286;10/01/11
03005;542;629;97;94;659;321;979;51;141;10/01/11
03006;732;747;179;142;907;251;1058;108;313;10/01/11
03007;815;872;186;166;1037;298;1279;85;323;10/01/11
03008;591;648;126;98;772;243;871;81;287;10/01/11
03009;568;663;131;91;748;261;945;75;211;10/01/11
03010;770;909;185;199;1007;288;1201;92;386;10/01/11
03011;952;958;230;207;1161;312;1174;136;600;10/01/11
03012;1095;1173;267;213;1391;397;1491;130;647;10/01/11
03013;1012;941;239;188;1233;293;1289;134;530;10/01/11
03014;975;943;220;175;1212;311;1244;105;569;10/01/11
03015;1562;1546;369;260;1890;589;2120;233;755;10/01/11
03016;594;632;158;104;743;221;788;79;359;10/01/11
03017;950;932;240;158;1199;285;1192;112;578;10/01/11
03018;804;814;204;153;957;304;1268;62;288;10/01/11
03019;705;790;152;142;932;269;1098;81;316;10/01/11
03020;640;626;107;133;738;288;1075;51;140;10/01/11
03021;537;618;105;91;623;336;998;28;129;10/01/11
03022;738;741;185;100;948;246;1147;74;258;10/01/11
03023;928;937;234;156;1203;272;1259;135;471;10/01/11
03024;1014;966;258;168;1243;311;1413;171;396;10/01/11
03025;566;567;150;128;595;260;1035;6;92;10/01/11
03026;533;544;122;55;494;406;981;26;70;10/01/11
03027;829;850;285;124;870;400;1528;34;117;10/01/11
03028;974;1031;436;153;1208;208;1736;56;213;10/01/11
03029;593;716;176;139;615;379;1205;10;94;10/01/11
03030;744;889;197;168;816;452;1439;42;152;10/01/11
03031;1208;1279;306;266;1506;409;2216;34;237;10/01/11
03032;720;815;228;159;910;238;1287;63;185;10/01/11
03033;766;741;220;124;839;324;1092;38;377;10/01/11
03034;1502;1548;441;407;1800;402;2703;29;318;10/01/11
03035;3534;3724;903;780;4173;1402;5979;182;1097;10/01/11
03036;1126;1173;359;214;1396;330;2052;44;203;10/01/11
03037;567;598;177;175;697;116;1054;15;96;10/01/11
03038;727;747;251;151;788;284;1368;6;100;10/01/11
03039;956;979;240;183;1082;430;1442;61;432;10/01/11
03040;746;838;155;119;977;333;1439;49;96;10/01/11
03041;630;712;166;109;723;344;1067;48;227;10/01/11
03042;637;680;150;120;766;281;1060;60;197;10/01/11
03043;778;837;177;144;962;332;1286;102;227;10/01/11
03044;898;1020;242;149;1151;376;1471;81;366;10/01/11
03045;494;575;99;94;635;241;845;57;167;10/01/11
03046;675;775;121;165;946;218;1246;82;122;10/01/11
03047;867;916;175;185;1105;318;1386;91;306;10/01/11
03048;704;758;118;160;896;288;1161;61;240;10/01/11
03049;783;850;161;139;962;371;1345;72;216;10/01/11
03050;807;850;148;138;1067;304;1296;70;291;10/01/11
03051;896;976;274;149;1177;272;1416;104;352;10/01/11
03052;592;630;146;92;698;286;961;56;205;10/01/11
03053;1009;1058;237;171;1258;401;1487;99;481;10/01/11
03054;868;924;200;180;1104;308;1474;54;264;10/01/11
03055;793;834;169;153;1003;302;1350;59;218;10/01/11
03056;389;484;90;58;500;225;743;24;106;10/01/11
03057;684;829;154;140;884;335;1320;41;152;10/01/11
03058;534;739;139;124;700;310;1170;32;71;10/01/11
03059;610;621;148;94;670;319;1045;18;168;10/01/11
03060;678;713;147;132;830;282;1222;37;132;10/01/11
03061;539;634;117;66;585;405;979;24;170;10/01/11
03062;767;883;200;111;941;398;1383;58;209;10/01/11
03063;603;635;159;93;721;265;964;46;228;10/01/11
03064;681;741;199;147;916;160;1243;31;148;10/01/11
03065;684;693;155;238;857;127;1245;18;114;10/01/11
03066;1157;1152;291;218;1474;326;1957;60;292;10/01/11
03067;775;904;175;174;987;343;1469;36;174;10/01/11
03068;558;615;117;82;695;279;1003;17;153;10/01/11
03069;563;609;116;121;703;232;1024;32;116;10/01/11
03070;679;682;132;151;847;231;1116;40;205;10/01/11
03071;626;717;171;100;770;302;1047;46;250;10/01/11
03072;676;723;158;124;858;259;1126;34;239;10/01/11
03073;740;848;142;153;1010;283;1347;42;199;10/01/11
03074;851;955;208;127;1103;368;1487;52;267;10/01/11
03075;770;854;185;151;955;333;1384;42;198;10/01/11
03076;499;523;78;90;597;257;907;15;100;10/01/11
03077;606;702;152;107;733;316;1097;32;179;10/01/11
03078;820;886;179;176;1047;304;1320;57;329;10/01/11
03079;870;959;202;161;1094;372;1355;67;407;10/01/11
03080;735;840;152;152;922;349;1344;40;191;10/01/11
03081;893;1092;225;196;1182;382;1638;54;293;10/01/11
03082;848;974;206;171;1070;375;1582;55;185;10/01/11
03083;657;726;112;171;853;247;1197;47;139;10/01/11
03084;706;796;150;127;931;294;1293;48;161;10/01/11
03085;574;677;112;113;768;258;1012;43;196;10/01/11
03086;623;691;133;129;797;255;1242;24;48;10/01/11
03087;689;802;141;93;789;468;1278;47;166;10/01/11
03088;680;771;138;102;867;344;1197;53;201;10/01/11
03089;560;642;109;110;674;309;1118;32;52;10/01/11
03090;509;592;150;100;587;264;988;28;85;10/01/11
03091;713;742;192;139;856;268;1252;46;157;10/01/11
03092;583;621;131;123;722;228;972;55;177;10/01/11
03093;792;813;195;173;962;275;1369;39;197;10/01/11
03094;531;611;106;77;648;311;1030;37;75;10/01/11
03095;752;934;181;136;1017;352;1338;50;298;10/01/11
03096;750;850;185;193;961;261;1139;69;392;10/01/11
03097;803;863;189;176;1011;290;1119;85;462;10/01/11
03098;683;744;172;137;864;254;1070;56;301;10/01/11
03099;490;592;134;77;650;221;863;38;181;10/01/11
03100;586;659;124;82;765;274;984;65;196;10/01/11
03101;1696;1045;180;280;1869;412;1274;200;1267;10/01/11
03102;658;725;167;128;828;260;1123;55;205;10/01/11
03103;580;660;125;92;748;275;1124;22;94;10/01/11
03104;730;773;203;124;921;255;1136;79;288;10/01/11
03105;548;636;118;94;733;239;943;36;205;10/01/11
03106;579;711;151;95;770;274;1027;59;204;10/01/11
03107;726;772;125;109;928;336;1276;46;176;10/01/11
03108;771;914;199;136;996;354;1289;90;306;10/01/11
03109;709;800;184;122;901;302;1251;61;197;10/01/11
03110;663;759;136;115;828;343;1213;70;139;10/01/11
03111;580;677;141;87;774;255;1078;48;131;10/01/11
03112;858;971;181;205;1105;338;1596;68;165;10/01/11
03113;730;864;160;140;816;478;1409;56;129;10/01/11
03114;669;816;157;170;823;335;1283;45;157;10/01/11
04001;548;661;128;142;693;246;1025;59;125;10/01/11
04002;854;960;224;195;1060;335;1669;48;97;10/01/11
04003;508;552;115;117;658;170;985;33;42;10/01/11
04004;493;559;124;113;646;169;905;28;119;10/01/11
04005;624;682;146;151;724;285;1119;36;151;10/01/11
04006;540;617;130;101;653;273;1050;37;70;10/01/11
04007;518;671;112;83;569;425;1039;38;112;10/01/11
04008;512;573;111;104;636;234;927;43;115;10/01/11
04009;671;771;154;154;850;284;1245;56;141;10/01/11
04010;425;471;120;88;516;172;829;19;48;10/01/11
04011;821;893;194;122;1054;344;1564;46;104;10/01/11
04012;672;794;149;187;842;288;1394;27;45;10/01/11
04013;577;685;137;138;720;267;1136;32;94;10/01/11
04014;387;484;101;63;396;311;796;16;59;10/01/11
04015;891;1069;225;212;1153;370;1767;53;140;10/01/11
04016;539;595;119;104;674;237;1014;41;79;10/01/11
04017;513;658;132;87;650;302;1064;29;78;10/01/11
04018;663;824;203;110;802;372;1334;54;99;10/01/11
04019;575;720;159;112;655;369;1144;69;82;10/01/11
04020;665;751;200;128;714;374;1267;43;106;10/01/11
04021;586;719;162;112;671;360;1166;54;85;10/01/11
04022;753;819;144;149;942;337;1338;78;156;10/01/11
04023;511;572;161;132;564;226;971;32;80;10/01/11
04024;504;532;150;116;558;212;948;19;69;10/01/11
04025;569;621;147;98;677;268;1056;52;82;10/01/11
04026;594;699;145;115;735;298;1154;47;92;10/01/11
04027;522;678;151;90;676;283;1069;57;74;10/01/11
04028;615;715;125;91;630;484;1167;69;94;10/01/11
04029;1658;971;158;325;1854;292;1259;128;1242;10/01/11
04030;810;931;204;138;943;456;1580;51;110;10/01/11
04031;667;761;156;134;803;335;1268;34;126;10/01/11
04032;724;869;178;151;910;354;1465;36;92;10/01/11
04033;529;654;112;94;732;245;1048;31;104;10/01/11
04034;713;782;169;131;829;366;1436;32;27;10/01/11
04035;652;782;149;122;896;267;1325;27;82;10/01/11
04036;753;953;190;125;817;574;1491;47;168;10/01/11
04037;975;1148;243;199;1165;516;1938;38;147;10/01/11
04038;601;680;132;141;734;274;1170;24;87;10/01/11
04039;560;650;166;97;709;238;1022;45;143;10/01/11
04040;701;794;210;117;832;336;1292;35;168;10/01/11
04041;608;734;144;106;771;321;1119;74;149;10/01/11
04042;831;904;136;170;1007;422;1501;58;176;10/01/11
04043;756;916;166;150;953;403;1573;24;75;10/01/11
04044;788;889;172;182;968;355;1461;34;182;10/01/11
04045;655;731;156;120;782;328;1229;35;122;10/01/11
04046;1217;1248;286;277;1434;468;2310;73;82;10/01/11
04047;781;870;184;192;933;342;1488;29;134;10/01/11
04048;1344;1564;318;255;1656;679;2634;78;196;10/01/11
04049;543;598;139;125;633;244;990;48;103;10/01/11
04050;943;1085;305;153;1069;501;1792;81;155;10/01/11
04051;746;865;207;125;795;484;1411;63;137;10/01/11
04052;985;1142;316;210;1080;521;1865;144;118;10/01/11
04053;689;826;171;228;821;295;1209;108;198;10/01/11
04054;512;560;120;131;554;267;954;39;79;10/01/11
04055;780;816;272;203;783;338;1239;251;106;10/01/11
04056;793;957;277;204;900;369;1394;202;154;10/01/11
05001;721;726;295;118;847;187;1278;97;72;10/01/11
05002;729;836;279;134;819;333;1409;98;58;10/01/11
05003;625;692;253;144;723;197;1196;71;50;10/01/11
05004;458;611;189;153;496;231;937;57;75;10/01/11
05005;509;591;201;124;515;260;983;65;52;10/01/11
05006;896;883;356;197;898;328;1482;202;95;10/01/11
05007;682;830;230;143;791;348;1373;80;59;10/01/11
05008;684;835;279;134;733;373;1409;34;76;10/01/11
05009;745;927;300;159;863;350;1493;96;83;10/01/11
05010;680;837;271;111;805;330;1372;92;53;10/01/11
05011;660;763;219;140;794;270;1291;50;82;10/01/11
05012;637;730;229;114;744;280;1232;69;66;10/01/11
05013;755;878;292;162;888;291;1479;84;70;10/01/11
05014;778;848;251;182;914;279;1411;111;104;10/01/11
05015;711;829;298;128;810;304;1331;83;126;10/01/11
05016;806;970;311;144;900;421;1542;113;121;10/01/11
05017;741;843;273;193;791;327;1368;123;93;10/01/11
05018;567;669;168;100;629;339;1142;36;58;10/01/11
05019;775;920;305;188;900;302;1517;70;108;10/01/11
05020;492;604;152;99;620;225;955;53;88;10/01/11
05021;556;647;225;176;622;180;994;52;157;10/01/11
05022;738;937;259;187;884;345;1568;45;62;10/01/11
05023;657;807;212;127;792;333;1292;58;114;10/01/11
05024;856;1000;298;215;927;416;1697;79;80;10/01/11
05025;607;712;206;192;649;272;1207;34;78;10/01/11
05026;652;729;252;162;698;269;1270;41;70;10/01/11
05027;631;698;238;155;645;291;1242;47;40;10/01/11
05028;697;775;308;160;723;281;1357;49;66;10/01/11
05029;781;842;353;201;787;282;1453;94;76;10/01/11
05030;669;749;278;171;701;268;1332;42;44;10/01/11
05031;709;847;266;175;760;355;1429;65;62;10/01/11
05032;722;860;253;164;779;386;1415;68;99;10/01/11
05033;583;743;224;98;668;336;1188;71;67;10/01/11
05034;481;670;140;125;602;284;1041;49;61;10/01/11
05035;539;574;131;146;524;312;1051;31;31;10/01/11
05036;772;890;284;193;853;332;1524;62;76;10/01/11
05037;595;778;230;106;730;307;1228;67;78;10/01/11
05038;592;692;169;107;741;267;1092;51;141;10/01/11
05039;726;858;272;171;845;296;1484;35;65;10/01/11
05040;628;737;209;116;780;260;1224;48;93;10/01/11
05041;602;804;188;153;828;237;1258;73;75;10/01/11
05042;573;656;162;103;655;309;1120;41;68;10/01/11
05043;653;758;214;139;797;261;1221;70;120;10/01/11
05044;561;694;173;119;653;310;1119;47;89;10/01/11
05045;683;829;237;164;782;329;1383;51;78;10/01/11
05046;501;667;177;120;552;319;1106;33;29;10/01/11
05047;564;689;239;145;600;269;1160;40;53;10/01/11
05048;556;671;177;149;568;333;1160;15;52;10/01/11
05049;740;858;282;172;805;339;1468;56;74;10/01/11
05050;728;877;234;142;911;318;1428;46;131;10/01/11
05051;757;844;279;160;803;359;1467;71;63;10/01/11
05052;641;795;254;165;704;313;1328;48;60;10/01/11
05053;702;823;256;194;762;313;1380;63;82;10/01/11
05054;495;609;151;157;555;241;987;33;84;10/01/11
05055;676;773;251;160;674;364;1342;37;70;10/01/11
05056;519;702;187;108;573;353;1122;40;59;10/01/11
05057;799;921;247;200;875;398;1605;50;65;10/01/11
05058;689;842;239;131;795;366;1331;84;116;10/01/11
05059;662;891;223;125;816;389;1353;89;111;10/01/11
05060;503;629;199;131;544;258;1009;52;71;10/01/11
05061;687;785;154;133;874;311;1211;82;179;10/01/11
05062;699;881;205;156;833;386;1397;74;109;10/01/11
05063;716;889;235;172;830;368;1435;55;115;10/01/11
05064;747;891;235;153;894;356;1389;91;158;10/01/11
05065;695;878;208;141;822;402;1382;92;99;10/01/11
05066;539;714;161;118;647;327;1150;30;73;10/01/11
05067;596;723;178;113;697;331;1155;69;95;10/01/11
05068;667;778;189;116;834;306;1272;63;110;10/01/11
05069;782;904;250;169;935;332;1455;93;138;10/01/11
05070;610;796;175;117;760;354;1273;46;87;10/01/11
05071;700;856;219;134;848;355;1305;101;150;10/01/11
05072;673;913;222;149;863;352;1434;52;100;10/01/11
05073;742;862;181;180;892;351;1423;59;122;10/01/11
05074;728;872;248;157;829;366;1463;62;75;10/01/11
05075;753;946;244;140;875;440;1520;85;94;10/01/11
05076;626;748;171;133;735;335;1215;68;91;10/01/11
05077;607;763;210;158;681;321;1258;43;69;10/01/11
05078;918;1093;353;169;1078;411;1798;80;133;10/01/11
05079;564;653;160;141;675;241;1089;40;88;10/01/11
05080;560;756;163;128;738;287;1113;86;117;10/01/11
05081;653;854;204;121;860;322;1304;94;109;10/01/11
05082;734;841;207;145;901;322;1357;75;143;10/01/11
05083;576;700;154;116;706;300;1131;42;103;10/01/11
05084;588;752;189;113;752;286;1177;73;90;10/01/11
05085;1664;957;214;328;1851;228;1200;214;1207;10/01/11
05086;564;706;178;105;754;233;1094;72;104;10/01/11
05087;702;863;187;143;880;355;1369;81;115;10/01/11
05088;802;885;215;189;1014;269;1497;70;120;10/01/11
05089;774;880;210;178;920;346;1444;99;111;10/01/11
05090;837;946;217;131;1123;312;1540;107;136;10/01/11
05091;644;842;200;122;850;314;1329;77;80;10/01/11
05092;721;889;243;150;858;359;1397;104;109;10/01/11
05093;487;595;152;107;572;251;933;46;103;10/01/11
05094;1114;1424;373;263;1308;594;2288;80;170;10/01/11
05095;746;912;243;138;901;376;1451;79;128;10/01/11
05096;493;582;144;98;598;235;949;50;76;10/01/11
05097;744;860;275;124;934;271;1398;98;108;10/01/11
05098;693;832;222;124;940;239;1323;83;119;10/01/11
06001;487;629;112;85;640;279;899;71;146;10/01/11
06002;698;819;193;105;872;347;1237;82;198;10/01/11
06003;733;802;200;136;924;275;1361;53;121;10/01/11
06004;530;606;111;98;653;274;989;54;93;10/01/11
06005;509;571;153;85;638;204;908;73;99;10/01/11
06006;462;541;147;87;568;201;903;39;61;10/01/11
06007;769;921;270;162;995;263;1444;80;166;10/01/11
06008;806;1041;205;161;1017;464;1576;81;190;10/01/11
06009;577;610;215;89;651;232;1087;64;36;10/01/11
06010;465;543;107;98;567;236;901;32;75;10/01/11
06011;586;692;174;103;629;372;1201;31;46;10/01/11
06012;504;598;112;84;583;323;965;60;77;10/01/11
06013;794;886;222;153;941;364;1435;97;148;10/01/11
06014;658;726;147;122;827;288;1210;55;119;10/01/11
06015;668;716;183;115;825;261;1180;57;147;10/01/11
06016;776;830;229;154;1011;212;1327;92;187;10/01/11
06017;605;664;179;76;760;254;1097;62;110;10/01/11
06018;582;699;148;117;758;258;1096;78;107;10/01/11
06019;688;789;170;121;926;260;1239;105;133;10/01/11
06020;542;606;109;85;657;297;977;47;124;10/01/11
06021;647;731;182;142;762;292;1214;77;87;10/01/11
06022;654;713;166;128;781;292;1214;66;87;10/01/11
06023;617;716;132;154;795;252;1264;30;39;10/01/11
06024;715;904;168;147;870;434;1418;66;135;10/01/11
06025;640;771;156;114;756;385;1278;42;91;10/01/11
06026;434;565;106;79;565;249;849;33;117;10/01/11
06027;558;668;154;116;687;269;1083;54;89;10/01/11
06028;659;687;147;93;816;290;1131;81;134;10/01/11
06029;572;687;98;108;748;305;1108;62;89;10/01/11
06030;598;757;133;102;799;321;1153;73;129;10/01/11
06031;515;644;110;77;720;252;1000;62;97;10/01/11
06032;562;637;137;85;773;204;1000;78;121;10/01/11
06033;597;720;135;108;802;272;1117;81;119;10/01/11
06034;541;731;112;87;790;283;1065;99;108;10/01/11
06035;439;565;101;106;529;268;892;47;65;10/01/11
06036;550;754;150;114;697;343;1132;87;85;10/01/11
06037;514;572;131;87;615;253;915;84;87;10/01/11
06038;619;796;186;96;817;316;1237;86;92;10/01/11
06039;740;905;173;98;1062;312;1289;160;196;10/01/11
06040;706;938;156;142;934;412;1359;128;157;10/01/11
06041;702;916;168;140;958;352;1350;157;111;10/01/11
06042;721;867;171;98;1006;313;1275;120;193;10/01/11
06043;579;677;126;78;794;258;1044;106;106;10/01/11
06044;665;738;131;97;867;308;1197;90;116;10/01/11
06045;564;709;114;84;829;246;1013;135;125;10/01/11
06046;487;609;115;69;680;232;920;91;85;10/01/11
06047;1662;1004;164;306;1928;268;1142;289;1235;10/01/11
06048;611;751;153;74;851;284;1073;126;163;10/01/11
06049;479;587;112;91;660;203;890;70;106;10/01/11
06050;558;675;117;91;803;222;946;158;129;10/01/11
06051;581;733;152;109;793;260;1035;105;174;10/01/11
06052;704;853;147;109;985;316;1273;146;138;10/01/11
06053;674;790;172;97;892;303;1221;106;137;10/01/11
06054;780;904;172;111;1109;292;1347;157;180;10/01/11
06055;659;797;157;102;845;352;1263;86;107;10/01/11
06056;763;887;199;105;1089;257;1267;125;258;10/01/11
06057;726;825;162;90;997;302;1245;137;169;10/01/11
06058;758;968;163;94;1132;337;1342;129;255;10/01/11
06059;685;835;169;97;937;317;1288;77;155;10/01/11
06060;879;991;212;154;1165;339;1454;142;274;10/01/11
06061;622;752;134;108;850;282;1115;78;181;10/01/11
06062;607;692;137;92;811;259;1124;81;94;10/01/11
06063;725;829;181;97;976;300;1274;105;175;10/01/11
06064;895;1035;231;142;1083;474;1658;98;174;10/01/11
06065;519;644;161;98;659;245;1022;44;97;10/01/11
06066;445;608;103;73;645;232;904;51;98;10/01/11
06067;825;1018;214;123;1131;375;1518;119;206;10/01/11
06068;658;874;185;130;834;383;1325;83;124;10/01/11
06069;537;597;138;71;663;262;950;77;107;10/01/11
06070;872;1057;202;151;1161;415;1573;96;260;10/01/11
06071;504;544;140;97;589;222;922;36;90;10/01/11
06072;744;880;150;150;949;375;1416;60;148;10/01/11
06073;667;750;141;144;841;291;1210;65;142;10/01/11
06074;473;570;121;88;583;251;896;59;88;10/01/11
06075;511;588;121;114;641;223;1011;24;64;10/01/11
06076;641;666;149;87;739;332;1204;38;65;10/01/11
06077;599;742;165;121;797;258;1071;60;210;10/01/11
06078;588;664;135;99;769;249;1072;85;95;10/01/11
06079;523;599;123;89;650;260;975;36;111;10/01/11
06080;552;615;132;84;674;277;1045;40;82;10/01/11
06081;606;705;149;109;775;278;1119;63;129;10/01/11
06082;784;950;210;152;962;410;1532;95;107;10/01/11
06083;809;915;173;141;998;412;1546;37;141;10/01/11
06084;666;814;172;122;822;364;1289;67;124;10/01/11
06085;526;688;127;91;673;323;1097;49;68;10/01/11
06086;447;520;110;107;558;192;931;18;18;10/01/11
06087;905;1039;192;167;1188;397;1781;60;103;10/01/11
06088;581;669;162;115;688;285;1112;46;92;10/01/11
07001;758;966;177;141;850;556;1549;51;124;10/01/11
07002;532;607;106;74;677;282;987;31;121;10/01/11
07003;637;720;161;124;806;266;1099;64;194;10/01/11
07004;701;822;159;137;902;325;1261;56;206;10/01/11
07005;695;774;158;100;852;359;1287;44;138;10/01/11
07006;465;568;116;106;612;199;930;33;70;10/01/11
07007;641;804;151;113;682;499;1277;30;138;10/01/11
07008;678;746;133;152;831;308;1292;32;100;10/01/11
